IMR,CN,Equity,Venture
AUMN,US,Equity,OTC,US
OPHR,CN,Equity,Venture
NGRC,US,Equity,OTC,US
AA,CN,Equity,Canadian,Sec
RNCH,CN,Equity,Venture
AUEX,CN,Equity,Canadian,Sec
PHD,CN,Equity,Venture
DOS,CN,Equity,Venture
LINE,CN,Equity,Canadian,Sec
KGL-H,CN,Equity,Venture
OPW,CN,Equity,Venture
STNG,CN,Equity,Canadian,Sec
GNT-H,CN,Equity,Venture
GSRI,CN,Equity,Canadian,Sec
CUEX,CN,Equity,Venture
GRI,CN,Equity,Venture
EAU,CN,Equity,Venture
GLDN,CN,Equity,Venture
KVM,CN,Equity,Canadian,Sec
FEX,CN,Equity,Venture
PPM,CN,Equity,Venture
EOM,CN,Equity,Canadian,Sec
KENY,CN,Equity,Canadian,Sec
BMV,CN,Equity,Venture
EGM,CN,Equity,Venture
PGX,CN,Equity,Venture
GGX,CN,Equity,Venture
IMM,CN,Equity,Venture
NT,CN,Equity,Canadian,Sec
FLOD,US,Equity,OTC,US
GLDR,CN,Equity,Canadian,Sec
VYC-H,CN,Equity,Venture
NSJ,CN,Equity,Canadian,Sec
WLR,CN,Equity,Venture
GSS,CN,Equity,Venture
BG,CN,Equity,Canadian,Sec
ALM,CN,Equity,Venture
GST,CN,Equity,Venture
CBA,CN,Equity,Venture
BMXI,US,Equity,OTC,US
RMO,CN,Equity,Venture
PRS-H,CN,Equity,Venture
GOR,CN,Equity,Canadian,Sec
MMN,CN,Equity,Venture
BRON,CN,Equity,Venture
NVR,CN,Equity,Canadian,Sec
ZLTO,CN,Equity,Venture
AGH-H,CN,Equity,Venture
WNFT,US,Equity,OTC,US
PEGA,CN,Equity,Venture
MSCH,US,Equity,OTC,US
FWM,CN,Equity,Canadian,Sec
JDN,CN,Equity,Venture
AIS,CN,Equity,Venture
DG,CN,Equity,Venture
IN,CN,Equity,Venture
GRHK,CN,Equity,Canadian,Sec
ADP,CN,Equity,Canadian,Sec
PBM,CN,Equity,Venture
BIRD,CN,Equity,Venture
NEWD,CN,Equity,Canadian,Sec
GGLD,CN,Equity,Canadian,Sec
NVT,CN,Equity,Venture
CMP,CN,Equity,Canadian,Sec
SAF-H,CN,Equity,Venture
STW,CN,Equity,Venture
AMNP,US,Equity,OTC,US
AML,CN,Equity,Venture
RNGC,US,Equity,OTC,US
BURY,CN,Equity,Canadian,Sec
TGII,CN,Equity,Canadian,Sec
PLLR,CN,Equity,Canadian,Sec
FG,CN,Equity,Venture
APMI,CN,Equity,Venture
SAND,CN,Equity,Canadian,Sec
AVG,CN,Equity,Venture
TGLD,CN,Equity,Canadian,Sec
BOLT,CN,Equity,Canadian,Sec
AUR-H,CN,Equity,Venture
MCA-H,CN,Equity,Venture
GHL,CN,Equity,Venture
HANS,CN,Equity,Venture
ALT,CN,Equity,Venture
DHR,CN,Equity,Venture
NUG,CN,Equity,Venture
PATH,CN,Equity,Canadian,Sec
INFM,CN,Equity,Venture
TRS,CN,Equity,Venture
GBML,CN,Equity,Venture
GRAY,CN,Equity,Canadian,Sec
HRK,CN,Equity,Canadian,Sec
AORO,CN,Equity,Venture
SA-H,CN,Equity,Venture
FUTR,CN,Equity,Canadian,Sec
OTGO-H,CN,Equity,Venture
CSL-H,CN,Equity,Venture
RGLD,CN,Equity,Canadian,Sec
VAX,CN,Equity,Venture
BST,CN,Equity,Venture
BIGT,CN,Equity,Venture
MXL-H,CN,Equity,Venture
OSCI,US,Equity,OTC,US
ACRE,CN,Equity,Canadian,Sec
JADE,CN,Equity,Venture
RTM,CN,Equity,Venture
HNDI,US,Equity,OTC,US
KEON-H,CN,Equity,Venture
PGA,CN,Equity,Canadian,Sec
HAWK,CN,Equity,Venture
ETI,CN,Equity,Canadian,Sec
DTII,US,Equity,OTC,US
TRII,US,Equity,OTC,US
GYGC,US,Equity,OTC,US
KLM,CN,Equity,Venture
GRMC,US,Equity,OTC,US
RRM-H,CN,Equity,Venture
UARI,US,Equity,OTC,US
JSHG,US,Equity,OTC,US
RMRK,US,Equity,OTC,US
ECPN,US,Equity,OTC,US
NWPG,US,Equity,OTC,US
RNGG,US,Equity,OTC,US
CMHZ,US,Equity,OTC,US
STAL,US,Equity,OTC,US
AAGC,US,Equity,OTC,US
OATN,US,Equity,OTC,US
SSOK,US,Equity,OTC,US
RVBR,US,Equity,OTC,US
NRPI,US,Equity,OTC,US
GSDC,US,Equity,OTC,US
USCS,US,Equity,OTC,US
ARAO,US,Equity,OTC,US
PRMO,US,Equity,OTC,US
RREE,US,Equity,OTC,US
SSTT,US,Equity,OTC,US
AFYG,US,Equity,OTC,US
GKIN,US,Equity,OTC,US
OTMN,US,Equity,OTC,US
LKAI,US,Equity,OTC,US
HXPN,US,Equity,OTC,US
TMBXF,US,Equity,OTC,US
EGDD,US,Equity,OTC,US
PMMEF,US,Equity,OTC,US
ONSS,US,Equity,OTC,US
PGVI,US,Equity,OTC,US
GBGD,US,Equity,OTC,US
QMEI,US,Equity,OTC,US
AGCZ,US,Equity,OTC,US
NWGC,US,Equity,OTC,US
AIVN,US,Equity,OTC,US
BDGC-H,CN,Equity,Venture
SDRC,US,Equity,OTC,US
BRYN,US,Equity,OTC,US
HGLC,US,Equity,OTC,US
MLCL,CN,Equity,Canadian,Sec
PSGR,US,Equity,OTC,US
MAOMF,US,Equity,OTC,US
TODM,US,Equity,OTC,US
WRI,CN,Equity,Venture
LNXGF,US,Equity,OTC,US
NHLI,US,Equity,OTC,US
CSQ,CN,Equity,Canadian,Sec
EDGM,CN,Equity,Canadian,Sec
FENX,CN,Equity,Canadian,Sec
QIT-H,CN,Equity,Venture
AVM-X,CN,Equity,Canadian,Sec
ESGI,US,Equity,OTC,US
XMTTF,US,Equity,OTC,US
NZN-H,CN,Equity,Venture
IPMG,US,Equity,OTC,US
BNXR,US,Equity,OTC,US
NUSMF,US,Equity,OTC,US
HTRC,US,Equity,OTC,US
VINS,US,Equity,OTC,US
FCO-H,CN,Equity,Venture
SML,CN,Equity,Venture
GETT-H,CN,Equity,Venture
AUN-H,CN,Equity,Venture
XIA-H,CN,Equity,Venture
STLM,US,Equity,OTC,US
WOLV,US,Equity,OTC,US
GYA,CN,Equity,Venture
DSCR,US,Equity,OTC,US
MTN-H,CN,Equity,Venture
SGMNF,US,Equity,OTC,US
RVR,CN,Equity,Canadian,Sec
TYHJF,US,Equity,OTC,US
AUAG,CN,Equity,Canadian,Sec
GDPEF,US,Equity,OTC,US
ZNXT,US,Equity,OTC,US
GRCM,CN,Equity,Canadian,Sec
PRCK,US,Equity,OTC,US
MM,CN,Equity,Canadian,Sec
SNLM,US,Equity,OTC,US
AZGFF,US,Equity,OTC,US
ATOR,US,Equity,OTC,US
IGRU,US,Equity,OTC,US
SGRCF,US,Equity,OTC,US
NXGM,US,Equity,OTC,US
EMLL,US,Equity,OTC,US
EPTI,US,Equity,OTC,US
SBR,CN,Equity,Toronto
AUL-H,CN,Equity,Venture
MTK-H,CN,Equity,Venture
FGC-H,CN,Equity,Venture
PTTN,US,Equity,OTC,US
CCR,CN,Equity,Canadian,Sec
WGEE,US,Equity,OTC,US
ITG-H,CN,Equity,Venture
COLUF,US,Equity,OTC,US
NGUGF,US,Equity,OTC,US
MIRL,CN,Equity,Canadian,Sec
AWR,CN,Equity,Canadian,Sec
GMI-H,CN,Equity,Venture
NMG-H,CN,Equity,Venture
AOVTF,US,Equity,OTC,US
LAB,CN,Equity,Venture
MGI,CN,Equity,Venture
IMC,CN,Equity,Venture
WMTN,US,Equity,OTC,US
ONV-H,CN,Equity,Venture
BKSLF,US,Equity,OTC,US
TRA-H,CN,Equity,Venture
